symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BTX,2016-11-01 00:00:00+00:00,6.45,7.0,6.45,6.65,4160,12.9,14.0,12.9,13.3,2080,0.0,1.0
BTX,2016-11-02 00:00:00+00:00,6.52,6.52,6.45,6.48,433,13.04,13.04,12.9,12.96,216,0.0,1.0
BTX,2016-11-03 00:00:00+00:00,6.49,6.6,6.45,6.45,1891,12.98,13.2,12.9,12.9,945,0.0,1.0
BTX,2016-11-04 00:00:00+00:00,5.92,6.45,5.92,6.43,2439,11.84,12.9,11.84,12.86,1219,0.0,1.0
BTX,2016-11-07 00:00:00+00:00,6.6604,6.6604,5.9388,6.0,4166,13.3208,13.3208,11.8776,12.0,2083,0.0,1.0
BTX,2016-11-08 00:00:00+00:00,6.42,6.42,6.3,6.3,248,12.84,12.84,12.6,12.6,124,0.0,1.0
BTX,2016-11-09 00:00:00+00:00,7.24,8.12,6.15,6.32,23655,14.48,16.24,12.3,12.64,11827,0.0,1.0
BTX,2016-11-10 00:00:00+00:00,7.2202,7.4799,7.1,7.19,3417,14.4404,14.9598,14.2,14.38,1708,0.0,1.0
BTX,2016-11-11 00:00:00+00:00,7.39,7.4199,6.82,7.09,7344,14.78,14.8398,13.64,14.18,3672,0.0,1.0
BTX,2016-11-14 00:00:00+00:00,7.33,7.41,6.78,7.12,9222,14.66,14.82,13.56,14.24,4611,0.0,1.0
BTX,2016-11-15 00:00:00+00:00,7.37,7.51,7.13,7.51,6103,14.74,15.02,14.26,15.02,3051,0.0,1.0
BTX,2016-11-16 00:00:00+00:00,7.13,7.3628,7.13,7.3628,9630,14.26,14.7256,14.26,14.7256,4815,0.0,1.0
BTX,2016-11-17 00:00:00+00:00,7.32,7.32,7.1659,7.19,5239,14.64,14.64,14.3318,14.38,2619,0.0,1.0
BTX,2016-11-18 00:00:00+00:00,7.39,7.39,7.195,7.36,2596,14.78,14.78,14.39,14.72,1298,0.0,1.0
BTX,2016-11-21 00:00:00+00:00,7.9599,8.0,7.3102,7.38,5865,15.9198,16.0,14.6204,14.76,2932,0.0,1.0
BTX,2016-11-22 00:00:00+00:00,8.32,8.725,7.9452,7.9452,11952,16.64,17.45,15.8904,15.8904,5976,0.0,1.0
BTX,2016-11-23 00:00:00+00:00,8.4,8.49,8.1894,8.49,2655,16.8,16.98,16.3788,16.98,1327,0.0,1.0
BTX,2016-11-25 00:00:00+00:00,9.23,9.23,8.28,8.28,4559,18.46,18.46,16.56,16.56,2279,0.0,1.0
BTX,2016-11-28 00:00:00+00:00,10.15,10.88,9.15,9.15,18646,20.3,21.76,18.3,18.3,9323,0.0,1.0
